=== 1. BEACH WAKE-UP & ROBINSON DRAGGING CUTSCENE (Frames 330 to 355) ===
[Frame 0330] C->S (Client) | AC=12 Sub=01 Len=02 | Hex: 0c01
[Frame 0344] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0345] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0346] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0347] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0348] S->C (Server) | AC=24 Sub=05 Len=05 | Hex: 1805610001
[Frame 0348] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0349] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0350] S->C (Server) | AC=22 Sub=12 Len=06 | Hex: 160c01010006
[Frame 0350] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0351] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0352] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0352] S->C (Server) | AC=05 Sub=04 Len=02 | Hex: 0504
[Frame 0353] C->S (Client) | AC=23 Sub=54 Len=02 | Hex: 1736
[Frame 0354] S->C (Server) | AC=23 Sub=122 Len=06 | Hex: 177aa1e50300
[Frame 0355] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010300

=== 2. ROBINSON NPC FIRST DIALOGUE (Frames 840 to 870) ===
[Frame 0841] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010100
[Frame 0842] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0842] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000001060301000000000000010003
[Frame 0843] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0845] S->C (Server) | AC=183 Sub=11 Len=04 | Hex: b70b0902
[Frame 0846] C->S (Client) | AC=20 Sub=09 Len=03 | Hex: 14091e
[Frame 0848] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0849] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000010103010001000000005d4f05
[Frame 0850] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0852] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0853] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000020103010001000000005e4f05
[Frame 0854] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0856] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0857] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000030103010001000000005f4f05
[Frame 0858] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0860] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0861] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000004010301000100000000604f05
[Frame 0862] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0864] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0865] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000005010301000100000000614f05
[Frame 0866] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0868] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0869] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0870] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010100

=== 3. RAFT CHEST & ROBINSON RECRUITMENT CUTSCENE (Frames 915 to 965) ===
[Frame 0916] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0917] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0918] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230ce3a5020000
[Frame 0919] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010700
[Frame 0920] S->C (Server) | AC=22 Sub=01 Len=05 | Hex: 1601070001
[Frame 0920] S->C (Server) | AC=23 Sub=06 Len=33 | Hex: 170690bb0100000000000000000000000000000000000000000000000000000000
[Frame 0920] S->C (Server) | AC=24 Sub=01 Len=05 | Hex: 18010e2f01
[Frame 0920] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0920] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0921] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0922] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000001010301000100000000834f03
[Frame 0923] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0925] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0926] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000002010700000100000000066f03
[Frame 0927] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020f
[Frame 0929] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0930] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000003010700000100000000076f03
[Frame 0931] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020f
[Frame 0933] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0934] S->C (Server) | AC=22 Sub=07 Len=05 | Hex: 1607010007
[Frame 0934] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0935] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0936] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000005010301000100000000086f03
[Frame 0937] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0939] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0940] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000006010301000100000000096f03
[Frame 0941] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0943] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0944] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000070107000001000000000a6f03
[Frame 0945] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020f
[Frame 0947] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0948] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000080103080001000000003e2b03
[Frame 0949] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0951] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0952] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000090103010001000000000b6f03
[Frame 0953] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0955] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0956] S->C (Server) | AC=24 Sub=04 Len=04 | Hex: 18040e2f
[Frame 0956] S->C (Server) | AC=24 Sub=05 Len=05 | Hex: 1805520001
[Frame 0956] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0957] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0958] S->C (Server) | AC=22 Sub=10 Len=06 | Hex: 160a0100ffff
[Frame 0958] S->C (Server) | AC=15 Sub=01 Len=54 | Hex: 0f01a1e50300922f00000107000b0002000400060001060000000100000000010000000000000000003c000000000000000000000000
[Frame 0958] S->C (Server) | AC=19 Sub=01 Len=06 | Hex: 1301922f0000
[Frame 0958] S->C (Server) | AC=24 Sub=05 Len=05 | Hex: 1805790301
[Frame 0958] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0959] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0960] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0961] C->S (Client) | AC=32 Sub=03 Len=02 | Hex: 2003
[Frame 0963] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601040205330909a2
[Frame 0965] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601067a055b09093f
