[Frame 0831] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010600
[Frame 0866] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0868] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0869] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0870] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010100
[Frame 0871] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0871] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000001060301000000000000010003
[Frame 0872] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0874] C->S (Client) | AC=20 Sub=09 Len=03 | Hex: 14091f
[Frame 0876] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0877] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000001010301000100000000624f06
[Frame 0878] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0880] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0881] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000002010301000100000000634f06
[Frame 0882] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0884] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0885] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000003010301000100000000644f06
[Frame 0886] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0888] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0889] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000004010301000100000000654f06
[Frame 0890] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0892] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0893] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0894] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010800
[Frame 0895] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0895] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000010103080001000000003e2b01
[Frame 0896] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0898] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0899] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0900] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010100
[Frame 0901] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0901] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000001060301000000000000010003
[Frame 0902] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0904] C->S (Client) | AC=20 Sub=09 Len=03 | Hex: 140920
[Frame 0906] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0907] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000001010301000100000000664f07
[Frame 0908] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0910] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0911] S->C (Server) | AC=24 Sub=04 Len=04 | Hex: 1804082f
[Frame 0911] S->C (Server) | AC=24 Sub=05 Len=05 | Hex: 18054d0001
[Frame 0911] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0912] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0913] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000001010301000100000000824f08
[Frame 0914] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0916] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0917] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0918] S->C (Server) | AC=35 Sub=12 Len=07 | Hex: 230ce3a5020000
[Frame 0919] C->S (Client) | AC=20 Sub=01 Len=04 | Hex: 14010700
[Frame 0920] S->C (Server) | AC=22 Sub=01 Len=05 | Hex: 1601070001
[Frame 0920] S->C (Server) | AC=23 Sub=06 Len=33 | Hex: 170690bb0100000000000000000000000000000000000000000000000000000000
[Frame 0920] S->C (Server) | AC=24 Sub=01 Len=05 | Hex: 18010e2f01
[Frame 0920] S->C (Server) | AC=06 Sub=02 Len=03 | Hex: 060201
[Frame 0920] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0921] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0922] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000001010301000100000000834f03
[Frame 0923] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0925] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0926] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000002010700000100000000066f03
[Frame 0927] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020f
[Frame 0929] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0930] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000003010700000100000000076f03
[Frame 0931] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020f
[Frame 0933] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0934] S->C (Server) | AC=22 Sub=07 Len=05 | Hex: 1607010007
[Frame 0934] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0935] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0936] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000005010301000100000000086f03
[Frame 0937] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0939] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0940] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 140100000006010301000100000000096f03
[Frame 0941] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0943] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0944] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000070107000001000000000a6f03
[Frame 0945] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020f
[Frame 0947] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0948] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000080103080001000000003e2b03
[Frame 0949] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0951] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0952] S->C (Server) | AC=20 Sub=01 Len=18 | Hex: 1401000000090103010001000000000b6f03
[Frame 0953] C->S (Client) | AC=32 Sub=02 Len=03 | Hex: 20020a
[Frame 0955] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0956] S->C (Server) | AC=24 Sub=04 Len=04 | Hex: 18040e2f
[Frame 0956] S->C (Server) | AC=24 Sub=05 Len=05 | Hex: 1805520001
[Frame 0956] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0957] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0958] S->C (Server) | AC=22 Sub=10 Len=06 | Hex: 160a0100ffff
[Frame 0958] S->C (Server) | AC=15 Sub=01 Len=54 | Hex: 0f01a1e50300922f00000107000b0002000400060001060000000100000000010000000000000000003c000000000000000000000000
[Frame 0958] S->C (Server) | AC=19 Sub=01 Len=06 | Hex: 1301922f0000
[Frame 0958] S->C (Server) | AC=24 Sub=05 Len=05 | Hex: 1805790301
[Frame 0958] S->C (Server) | AC=20 Sub=10 Len=02 | Hex: 140a
[Frame 0959] C->S (Client) | AC=20 Sub=06 Len=02 | Hex: 1406
[Frame 0960] S->C (Server) | AC=20 Sub=08 Len=02 | Hex: 1408
[Frame 0961] C->S (Client) | AC=32 Sub=03 Len=02 | Hex: 2003
[Frame 0963] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601040205330909a2
[Frame 0965] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601067a055b09093f
[Frame 0967] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601065606ab09093a
[Frame 0969] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060106ce06d3090964
[Frame 0971] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 06010646076f09096a
[Frame 0973] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 060106be0733090990
[Frame 0975] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601060e0833090932
[Frame 0977] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601065e081f0909d9
[Frame 0979] C->S (Client) | AC=06 Sub=01 Len=09 | Hex: 0601069a081f090903
